Date,Score
3 août,83
10 août,72
17 août,46
24 août,77
31 août,70
7 sept.,74
14 sept.,72
21 sept.,74
28 sept.,72
5 oct.,68
12 oct.,63
19 oct.,71
26 oct.,72
2 nov.,72
9 nov.,62
16 nov.,70
23 nov.,65
30 nov.,69
7 déc.,67
14 déc.,79
21 déc.,78
28 déc.,69
4 janv.,73
11 janv.,74
18 janv.,65
25 janv.,68
1 févr.,74
8 févr.,59
15 févr.,75
22 févr.,71
1 mars,71
8 mars,72
15 mars,71
22 mars,73
29 mars,76
5 avr.,74
12 avr.,72
19 avr.,76
26 avr.,73
3 mai,75
10 mai,74
17 mai,68
24 mai,77
31 mai,75
7 juin,74
14 juin,84
21 juin,68
28 juin,82
5 juil.,72
12 juil.,74
19 juil.,79
26 juil.,74
