Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Valor_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;3886335;CH0038863350;;NESN.S;;NESTLE N;CH;CHF;SIX_Swiss_Exchange;3500;2750000000;1.0;1;;;107.16;1.0000000;294690000000;294690000000;24.94778
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1203204;CH0012032048;;ROG.S;;ROCHE GS;CH;CHF;SIX_Swiss_Exchange;4500;702562700;1.0;1;;;265.45;1.0000000;186495268715;186495268715;15.78826
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1200526;CH0012005267;;NOVN.S;;NOVARTIS N;CH;CHF;SIX_Swiss_Exchange;4500;2403721252;0.95;1;;;74.86;1.0000000;170945444249;170945444249;14.47185
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;21048333;CH0210483332;;CFR.S;;RICHEMONT N;CH;CHF;SIX_Swiss_Exchange;3700;522000000;1.0;1;;;140.1;1.0000000;73132200000;73132200000;6.19120
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1107539;CH0011075394;;ZURN.S;;ZURICH INSURANCE N;CH;CHF;SIX_Swiss_Exchange;8500;150460167;1.0;1;;;416.9;1.0000000;62726843622;62726843622;5.31031
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;24476758;CH0244767585;;UBSG.S;;UBS GROUP N;CH;CHF;SIX_Swiss_Exchange;8700;3524635722;0.8919;1;;;18.34;1.0000000;57654038484;57654038484;4.88086
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1222171;CH0012221716;;ABBN.S;;ABB LTD N;CH;CHF;SIX_Swiss_Exchange;2700;1964745075;0.8272;1;;;30.81;1.0000000;50073555852;50073555852;4.23911
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;41879292;CH0418792922;;SIKA.S;;SIKA N;CH;CHF;SIX_Swiss_Exchange;2300;153735051;1.0;1;;;255.9;1.0000000;39340799551;39340799551;3.33050
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1384101;CH0013841017;;LONN.S;;LONZA N;CH;CHF;SIX_Swiss_Exchange;4500;74468752;1.0;1;;;522.8;1.0000000;38932263546;38932263546;3.29592
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1221405;CH0012214059;;HOLN.S;;HOLCIM N;CH;CHF;SIX_Swiss_Exchange;2300;615929059;0.916;1;;;57.48;1.0000000;32429699715;32429699715;2.74542
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;43249246;CH0432492467;;ALCC.S;;ALCON N;CH;CHF;SIX_Swiss_Exchange;4500;499700000;1.0;1;;;60.02;1.0000000;29991994000;29991994000;2.53905
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;12688156;CH0126881561;;SRENH.S;;SWISS RE N;CH;CHF;SIX_Swiss_Exchange;8500;317497306;0.9103;1;;;91.72;1.0000000;26508712433;26508712433;2.24417
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1064593;CH0010645932;;GIVN.S;;GIVAUDAN N;CH;CHF;SIX_Swiss_Exchange;1300;9233586;0.8614;1;;;2835.0;1.0000000;22549054185;22549054185;1.90895
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;2460882;CH0024608827;;PGHN.S;;PARTNERS GROUP N;CH;CHF;SIX_Swiss_Exchange;8700;26700000;0.8497;1;;;792.4;1.0000000;17977170876;17977170876;1.52191
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1485278;CH0014852781;;SLHN.S;;SWISS LIFE HOLDING AG N;CH;CHF;SIX_Swiss_Exchange;8500;30825887;1.0;1;;;571.2;1.0000000;17607746654;17607746654;1.49063
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;3017040;CH0030170408;;GEBN.S;;GEBERIT N;CH;CHF;SIX_Swiss_Exchange;2300;35874333;0.9499;1;;;497.1;1.0000000;16939691116;16939691116;1.43408
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;874251;CH0008742519;;SCMN.S;;SWISSCOM N;CH;CHF;SIX_Swiss_Exchange;6500;51801943;0.4905;1;;;578.6;1.0000000;14701562346;14701562346;1.24460
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1254978;CH0012549785;;SOON.S;;SONOVA N;CH;CHF;SIX_Swiss_Exchange;4500;61159719;0.83;1;;;244.7;1.0000000;12421600145;12421600145;1.05158
2023-03-14;SPI2C;SPI 20 TR;CH0368313778;Total Return;CHF;24579.09;;24757.94;24458.33;24734.35;20;0.9525;1181227517638;47756556;1213853;CH0012138530;;CSGN.S;;CS GROUP N;CH;CHF;SIX_Swiss_Exchange;8700;4002158062;0.9012;1;;;2.24;1.0000000;8079108453;8079108453;0.68396
