Last Modified,Effective Date,Cons Code,Constituent Name,SEDOL,CUSIP,Country Code,MIC Exchange Code,Currency Code,Index Marker,Current Subsector Code,ICB New Subsector Code,Closing Price,Price Adjustment Factor,Adjusted Price,Current Shares in Issue,New Shares in Issue,Current Investability Weight,New Investability Weight,Amendment Code,Amendment Notes
13/03/2023,15/03/2023,C179145,Shurgard Self Storage,BQZCBZ4,,BELG,EBB,EUR,EEUI EGXA EGXC EGXJ EGXN EGXU ENGL EPBL EPDEU EPRA EXUK REUI RGXA RGXJ RGXN RGXU RNGL RPBL RPDEU RPRA RXUK,40201050,,44.400000,,,89035431,,28.247942465297,,SC,BGT2VM7
13/03/2023,20/03/2023,C152145,AEON REIT Investment,BFSSCF9,,JA,FJT,JPY,EGAS EGPA EGXC EGXE EGXM EGXN EGXU ELJP ENGL EPAA RGAS RGPA RGXE RGXM RGXN RGXU RLJP RNGL RPAA,35102045,,146000.000000,,,2044467,2120167,83.000000000000,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C69407,Alexandria Real Estate Equity,2009210,015271109,USA,NAY,USD,EGNA EGNAL EGXA EGXC EGXE EGXJ EGXM ENGL RGNA RGXA RGXE RGXJ RGXM RNGL RNUS UNUS,35102030,,126.120000,,,163217991,173087087,99.059014885191,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C62524,Allreal Hld N,5914270,,SWIT,SWX,CHF,RSSL RSXU SSEL SSXU,,35101010,,,147.800000000000000,,16522069,,88.184027304337,CA,Constituent addition
13/03/2023,20/03/2023,C27929,Argan,B1YKDN6,,FRA,EFP,EUR,EEUI EGXA EGXC EGXJ EGXN EGXU ENGL EPDEU EPFR EPRA EXUK REUI RGXA RGXJ RGXN RGXU RNGL RPDEU RPFR RPRA RXUK,,35102030,,,80.700000000000000,,22981364,,42.575171188400,CA,Constituent addition
13/03/2023,20/03/2023,C155603,CareTrust REIT,BMP8TL6,14174T107,USA,NAY,USD,EGNA EGNAL EGXA EGXC EGXE EGXJ EGXM ENGL RGNA RGXA RGXE RGXJ RGXM RNGL RNUS UNUS,35102010,,18.860000,,,97028742,99511924,98.719253935027,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C17244,Catena AB,B131GJ7,,SWED,SSS,SEK,EEUI EGXA EGXC EGXJ EGXN EGXU ELSD ENGL EPRA EXUK REUI RGXA RGXJ RGXN RGXU RLSD RNGL RPRA RXUK,35101010,,397.000000,,,45349440,49884384,66.763988814196,,IS,Quarterly Shares in issue update
13/03/2023,20/03/2023,C88581,Chartwell Retirement Residences,B8S8C94,16141A103,CAN,NCT,CAD,EGNA EGNAL EGXA EGXE EGXJ EGXM EGXU ELCA ENGL RGNA RGXA RGXE RGXJ RGXM RGXU RLCA RNGL,35101010,,8.680000,,,233801730,237007904,99.429821137660,,IS,Quarterly Shares in Issue Update
13/03/2023,20/03/2023,C40900,Cofinimmo,4177988,,BELG,EBB,EUR,EEUI EGXA EGXC EGXJ EGXN EGXU ENGL EPBL EPDEU EPRA EXUK REUI RGXA RGXJ RGXN RGXU RNGL RPBL RPDEU RPRA RSSL RSXU RXUK SSEL SSXU,35102010,,83.250000,,,32219874,32846154,100.000000000000,,IS,Quarterly Shares in issue update excluding 31575 treasury shares
13/03/2023,20/03/2023,C144830,Comforia Residential REIT,B8N6QD5,,JA,FJT,JPY,EGAS EGPA EGXC EGXE EGXM EGXN EGXU ELJP ENGL EPAA RGAS RGPA RGXE RGXM RGXN RGXU RLJP RNGL RPAA,35102040,,307500.000000,,,715982,736982,90.834740000000,,IS,Quarterly Shares in Issue Update
